id,srouce,name,brand,img-src,latest-price,retail-price,sale
sku.240602662,https://phongvu.vn/laptop-hp-victus-16-r0215tx-9q9b8pa-i7-13700h-bac--s240602662,Laptop gaming HP Victus 16-r0215TX - 9Q9B8PA (i7-13700H/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),HP,https://lh3.googleusercontent.com/3pCnmHaItfmmc-Xjg2BH0jJxsOH0IGsRbFmTf47FL4_OglAJpvsNg9q9S_GsDCwzrBJR5RV7maoVrdHiGdT57cmvPnzXTpj8jg=w500-rw,31.190.000,34.190.000,8.774
sku.240602768,https://phongvu.vn/laptop-hp-15-fd1037tu-9z2w5pa-core-7-150u--s240602768,Laptop AI HP 15-fd1037TU - 9Z2W5PA (Core 7 150U/RAM 16GB/Onboard/1TB SSD/Windows 11),HP,https://lh3.googleusercontent.com/EuiuzP3bABBRWcEjJ7SpfFC-dyE8ZRTiL3NCD6OPzyp8niRMmoccNKqOwXCp88gCXFy-ZaTRY02F08LvsLm1Rysid6lDavHZ=w500-rw,22.490.000,24.490.000,8.167
sku.240702561,https://phongvu.vn/laptop-acer-predator-helios-neo-14-phn14-51-99y8--s240702561,Laptop AI ACER Predator Helios Neo 14 PHN14-51-99Y8 (Ultra 9 185H/RAM 32GB/GeForce RTX 4060/1TB SSD/Windows 11),ACER,https://lh3.googleusercontent.com/A-yvXMHYt97dyL1_9xyhjvdA6fGg1uQU1i0izHyEWXaiSE3Hno1dOFUWN6_gF_8dGcg0M67Sn0FH6ug1xD10Yow1i31tP4UQ=w500-rw,47.690.000,49.990.000,4.601
sku.240702606,https://phongvu.vn/laptop-asus-rog-strix-g16-g614ju-n4132w-i7-13650hx-xam--s240702606,Laptop ASUS ROG Strix G16 G614JU-N4132W (i7-13650HX/ RAM 16GB/ GeForce RTX™ 4050/ 512GB SSD/ Windows 11),ASUS,https://lh3.googleusercontent.com/rfK-_K90iYeYa8oE1xK4DF-gooCdL83EoIcToMvnQVlTp39qPK2alVqfEuJ7N_ctuxQol0QMCA9NVeidphGjT08mMUMYx0BMxA=w500-rw,36.990.000,38.990.000,5.13
sku.240802646,https://phongvu.vn/laptop-acer-nitro-v-16-propanel-anv16-41-r7en--s240802646,Laptop ACER Nitro V 16 ProPanel ANV16-41-R7EN (Ryzen 7 8845HS/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),ACER,https://lh3.googleusercontent.com/9E5ZVcLJuSZ2QYLNOYAlotuDu0yW0D_ioxikzf6XdPV00i5baMVi14TOTmx9dXCyGsUk9XVtduZ3_u6obIFTnAEm4ri2fQ5G=w500-rw,27.490.000,28.790.000,4.515
sku.220503381,https://phongvu.vn/asus-vivobook-a1403za-km161w--s220503381,Laptop ASUS Vivobook 14X OLED A1403ZA-KM161W A1403ZA-KM161W (14 inch 90Hz/Intel Core i5-12500H/8GB/256GB SSD/Windows 11 Home/1.6kg),ASUS,https://lh3.googleusercontent.com/cJ6OiMCteuRVB_2VvXcNHJLbzJTSEjFgJQpyS0ARPtJoxCgxblQvuzS2Lq2MiPyUxvoe2HnYqKGt-r8U84ies4nQUveHFqLK=w500-rw,19.490.000,20.490.000,4.88
sku.231100718,https://phongvu.vn/apple-macbook-pro-16-inch-2023-m3-pro-18gb-512gb-ssd--p534238,MacBook Pro 16 inch M3 Pro 2023 (18GB/512GB SSD),APPLE,https://lh3.googleusercontent.com/td5PPtDZO3fquTjqtom1ktzeksgONyOOvIgAaQpQ-G6UxY_qETv2WpwHZYHYPhEGGr2Ilhp0E7X3PV7xGTmVlajneRhDW6l0Kw=w500-rw,66.390.000,0,0
sku.240201294,https://phongvu.vn/laptop-lenovo-yoga-9-2in1-14imh9-83ac000svn-ultra-7-155h--s240201294,Laptop Lenovo Yoga 9 2in1-14IMH9 - 83AC000SVN (Ultra 7-155H/ RAM 16GB/ Onboard/ 1TB SSD/ Windows 11 + Office),Lenovo,https://lh3.googleusercontent.com/5fVwoBV6_nOF2VbPuZ0UNLorGcZuWRHD2SLlafy7wKv4OlF_2gg1O6KynXZijcoIsrv2dt7dqEzioDTNlElz1lrEYvkMazTplQ=w500-rw,43.990.000,47.990.000,8.335
sku.240201834,https://phongvu.vn/laptop-hp-probook-440-g10-9h8u9pt-i7-1355u-bac--s240201834,Laptop HP ProBook 440 G10 - 9H8U9PT (i7-1355U/ RAM 16GB/ Onboard/ 512GB SSD/ Windows 11),HP,https://lh3.googleusercontent.com/6VjLUgH6NVWzPUkiIITu55Oa-5RObFUMWS-CT0dwkkqiN4rH7t8rqksqDgo3OXfYOjGhCeD05vAAZrA8THDkV3vDdgioZ7ID=w500-rw,24.990.000,26.090.000,4.216
sku.240301683,https://phongvu.vn/macbook-pro-m3-14-inch-16gb-1tb-ssd--s240301683,MacBook Pro 14 inch M3 2023 (16GB/1TB SSD),APPLE,https://lh3.googleusercontent.com/Jl2b89NTt4nG0jV89NfAZoClKqPORu41XNlezsT3ibzqeyr1VNj7NPOZ4PoLE1UjJpflFoC97s56eRWPEseS4r_ODu_JJrx-=w500-rw,48.990.000,51.900.000,5.607
sku.240302540,https://phongvu.vn/laptop-msi-cyborg-15-a12ucx-618vn-i5-12450h-den--s240302540,Laptop gaming MSI Cyborg 15 A12UCX - 618VN (i5-12450H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),MSI,https://lh3.googleusercontent.com/5OjoUFbgX_obCr0huMwnAEk2Q-VV0YIQ8wm8KVBqPuarLfMU5Nx_zcGSV2SN86HIGzrDC6Er9tygEQJ3i0upxdwL0gedoJ7l=w500-rw,16.290.000,19.900.000,18.141
sku.240503707,https://phongvu.vn/laptop-msi-cyborg-15-a13vfk-876vn-i7-13620h-den--s240503707,Laptop gaming MSI Cyborg 15 A13VFK-876VN (i7-13620H/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),MSI,https://lh3.googleusercontent.com/lLy8PSKkCgCLewxZNF95rcI8gaFItrRCJfU_WzQMvMQ1t2vGSNYGJYf5THaJJj1hleGNuUDUHa5hioqyMi1m9HeGkzw_YDc8=w500-rw,28.590.000,29.990.000,4.668
