Ram,Part-number,Retail_Price,Bảo mật,Dung lượng SSD,Bảo hành,Bàn phím,NPU (TOPS),Màu sắc,Công suất pin,Webcam,"Kích thước, khối lượng",Tên,Đèn laptop,Phụ kiện đi kèm,Thương hiệu,Kích thước,Cổng kết nối,Dung lượng RAM,Kết nối không dây,Lưu trữ,CPU,Hệ điều hành,Pin,Màn hình,Cổng HDMI,Tính năng đặc biệt,Mô tả bảo hành,Sale,Image,Nhu cầu,SKU,Chip đồ họa,Name,Công nghệ âm thanh,Latest_Price,Chất liệu,Khối lượng,Series laptop
1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),873J6PA,22.590.000₫,Vân tay,,12 tháng,"Bàn phím thường , có phím số , LED",,Bạc,,HD webcam,,ProBook 450 G10 - 873J6PA,không đèn,"Adapter, dây nguồn,…",HP,35.94 x 23.39 x 1.99 cm,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-1340P ( 1.9 GHz - 4.6 GHz / 12MB / 12 nhân, 16 luồng ), Non-EVO",Windows 11 Home,"3 cell 51 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD IPS , cảm ứng",,,,13.723%,https://lh3.googleusercontent.com/HL62Hjkke_mwKJFXijOEHTVC3EgaqmZDrDBlf7Z1ldSM9FCejfxumQ-7r3H9QPJwyT9K1AKUsKuFtBuKlDLwOQ-apJnDX3fmxA=w500-rw,Văn phòng,231004216,Onboard Intel® UHD Graphics,Laptop HP ProBook 450 G10 - 873J6PA (i5-1340P) (Bạc),,19.490.000₫,,1.8 kg,ProBook
2 x 8GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),N4I7204W1,26.490.000₫,Không,,12 tháng,"Bàn phím thường , không phím số , không đèn",,Xanh,,FHD webcam,,Inspiron 5440 G14 - N4I7204W1,,,Dell,15.7 x 314 x 227.5mm,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.1
1 x SD card slot
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ 7 150U ( 1.8 GHz - 5.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",Windows 11 Home SL + Office Home & Student 2021,"4 cell 54 Wh , Pin liền","14"" ( 1920 x 1200 ) WUXGA IPS , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa , ComfyView",,,,9.438%,https://lh3.googleusercontent.com/tF2bZBVeZ2dAEUVqmbdUJ9pRJOJnaa0-XVi7AzhfXej6Ah5SMzhuDnBI-ttrX7_uKkhad-O2mjG_edrEVhfE1H8B9ZBthOJr=w500-rw,Văn phòng,240404258,Onboard Intel® Iris® Xe Graphics,Laptop Dell Inspiron 5440 G14 - N4I7204W1 (Core 7 150U/ RAM 16GB/ Onboard/ 512GB SSD/ Windows 11 +Office),Dolby Atmos,23.990.000₫,,1.6 kg,Inspiron
8GB Onboard DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),90NB10J2-M002F0,13.690.000₫,Vân tay,,24 tháng,"Bàn phím thường , có phím số , không đèn",,Bạc,,HD webcam,,Vivobook X1504VA-NJ069W,không đèn,,ASUS,35.97 x 23.25 x 1.79 cm,"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i3-1315U ( 1.2 GHz - 4.5GHz / 10MB / 6 nhân, 8 luồng ), Non-EVO",Windows 11 Home,"3 cell 42 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD 16:9 , không cảm ứng , 45% NTSC , Màn hình chống lóa",,,Bảo hành Pin 12 tháng,16.801%,https://lh3.googleusercontent.com/SJESY2bFyOZBEsOiLCIsultWq5W634L_6VMQKVjpEOsYd-A6WWbeAEF3tnrQb397Zisu6mg7DVGOZCev71pIkyrRvarLxxE=w500-rw,Văn phòng,230304295,Onboard Intel® UHD Graphics,Laptop ASUS Vivobook 15 X1504VA-NJ069W (i3-1315U/RAM 8GB/512GB SSD/ Windows 11),SonicMaster,11.390.000₫,,1.7 kg,VivoBook
2 x 8GB DDR4 3200MHz,8C5L4PA,21.290.000₫,,,12 tháng,"Bàn phím thường , có phím số , không đèn",,Vàng đồng,,HD webcam,,Pavilion 15-eg3093TU (8C5L4PA),không đèn,,HP,36.02 x 23.4 x 1.8 cm,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",Windows 11 Home SL,"3 cell 41 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD IPS , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",,,,15.5%,https://lh3.googleusercontent.com/2-to7NTUkThQCy8h-QJYgV7eTMUWAMFT9v335ZoImuSfID1JclpTqt-jSaSd7Cl3IZoAo0KZpqK2KwCclOXtEBWRHVO9PwNj=w500-rw,Văn phòng,230703940,Onboard Intel® Iris® Xe Graphics,Laptop HP Pavilion 15-eg3093TU (8C5L4PA) (i5-1335U) (Vàng),HP Audio Boost,17.990.000₫,,1.7 kg,Pavilion
1 x 8GB DDR4 2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),8V5I5267W1,17.990.000₫,,,12 tháng,"Bàn phím thường , có phím số , không đèn",,Xám,,HD webcam,,Vostro 3530 - V5I5267W1,không đèn,,Dell,358.50 x 235.56 x 2 mm,"1 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ac , Bluetooth 5.0",256GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",Windows 11 Home SL + Office Home & Student 2021,"3 cell 41 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD WVA , 120Hz , không cảm ứng , Màn hình chống lóa",,,Bảo hành Pin 12 tháng,12.229%,https://lh3.googleusercontent.com/BvufI_kSxiILSkDHPSxEpi1OYEhAJnsfj03qXW7obVs9u35mZSB5EvXq26KHlcBssGIusiHxR2ttagIDg_v3L_RzXDGbyQkv=w500-rw,Văn phòng,230904039,Onboard Intel® Iris® Xe Graphics,Laptop Dell Vostro 3530 - V5I5267W1 (i5-1335U/ RAM 8GB/ Onboard/ 256GB SSD/ Windows 11 + Office),Realtek Audio,15.790.000₫,,1.6 kg,Vostro
16GB Onboard LPDDR5x 7467MHz Không nâng cấp được ),83DC001RVN,23.690.000₫,Khuôn mặt,,24 tháng,"Bàn phím Chiclet với phím Copilot , có phím số , LED","Intel® AI Boost, up to 11 TOPS",Xám,,FHD webcam,,Ideapad Slim 5 16IMH9 - 83DC001RVN,,,Lenovo,356 x 251 x 16.9 mm,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2",512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"Intel® Core™ Ultra 5-125H ( 3.6 GHz - 4.5 GHz / 18MB / 14 nhân, 18 luồng ), Intel AI",Windows 11 Home SL,"57 Wh , Pin liền","16"" ( 2048 x 1280 ) 2K OLED , 120Hz , không cảm ứng , 400 nits , 100% DCI-P3 , Màn hình gương",,,,7.176%,https://lh3.googleusercontent.com/Ek4OKalFR1q2I1afWniIDATPQrdg6Bki42XEyF-2syTLsEmDyA8NdHYZEEN_v89r4BrrmQVc6cwfvUwzrZkmS5YkyGas2sFS=w500-rw,Văn phòng,240403798,Onboard Intel® Arc™ Graphics,Laptop AI Lenovo Ideapad Slim 5 16IMH9 - 83DC001RVN (Ultra 5-125H/RAM 16GB/Onboard/512GB SSD/Windows 11),Dolby Atmos,21.990.000₫,Vỏ nhôm,1.9 kg,Ideapad
1 x 16GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),NH.QQESV.009,32.990.000₫,,,12 tháng,"Bàn phím thường , có phím số , LED",,Đen,,HD webcam,,Gaming Nitro V ANV15-51-91T5,,"Adapter, dây nguồn, HDSD,…",ACER,362.3 x 239.89 x 22.9/26.9 mm,"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1",512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"Intel® Core™ i9-13900H ( 2.6 GHz - 5.4 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",Windows 11 Home SL,"4 cell 54 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , Acer ComfyView",,,,4.547%,https://lh3.googleusercontent.com/-J84ZqCbfL5FRIypKx20Q6fc7hBgFUVPraXmRjZlUxqEW0zxHjNm-YUIrPwBZJaQACa4CcItaeKUohYadsN8Fci1ONcYVU_79Q=w500-rw,Gaming,240404218,GeForce RTX™ 4060 8GB GDDR6 Intel® Iris® Xe Graphics,Laptop gaming ACER Nitro V ANV15-51-91T5 (i9-13900H/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),,31.490.000₫,Vỏ nhựa,2.1 kg,Nitro V
2 x 8GB DDR4 2666MHz ( 2 Khe cắm,i5U165W11SLU,18.690.000₫,,,12 tháng,"Bàn phím thường , có phím số , không đèn",,Bạc,,HD webcam,,Inspiron 15 3530 N3530-i5U165W11SLU,,"Adapter, dây nguồn, HDSD,…",Dell,16.96 - 18.99 x 358.50 x 235.56 mm,"2 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-1334U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",Windows 11 Home SL + Office Home & Student 2021,"3 cell 41 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD 120Hz , 250 nits , Màn hình chống lóa",,,,3.745%,https://lh3.googleusercontent.com/_sEWFUwLkDQcFQjWE1DG4GoGI1K2WGJEe5zo-R87xUV9nefb0jQXO5L4gCPQ3lKp0PlgW31xadEaXqrhzxb7espyYUZAlmXVaw=w500-rw,Văn phòng,240703463,Onboard Intel® UHD Graphics,Laptop Dell Inspiron 15 3530 N3530-i5U165W11SLU (i5-1334U/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),,17.990.000₫,Vỏ nhôm,1.9 kg,Inspiron
2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),NX.KW1SV.002,21.490.000₫,Vân tay,,12 tháng,"Bàn phím thường , có phím số , LED",,Xám,,FHD webcam,,Gaming Aspire 5 A515-58GM-598J,,"Adapter, dây nguồn, HDSD,…",ACER,36.1 x 23.7 x 1.79 cm,"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1",512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",Windows 11 Home,"50 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Acer ComfyView",,,,13.96%,https://lh3.googleusercontent.com/i6qG3bVW58XAC13WT7iyC0LDkPDSY97FbvamufKsvyapNoDez-JCBLzAWlKMA75JEOP2xSSvR3YFeY4Dn51V4Qo8a_NaSSZY=w500-rw,Gaming,240602771,GeForce RTX™ 2050 4GB GDDR6 Intel® Iris® Xe Graphics,Laptop ACER Gaming Aspire 5 A515-58GM-598J (i5-13420H/ RAM 16GB/ GeForce RTX™ 2050/ 512GB SSD/ Windows 11),,18.490.000₫,Vỏ nhôm,1.7 kg,Aspire 5
1 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),83GS001SVN,21.490.000₫,,,24 tháng,"Bàn phím thường , có phím số , LED",,Xám,,HD webcam,,LOQ 15IAX9 - 83GS001SVN,,,Lenovo,359.86 x 258.7 x 21.9-23.9 mm,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2",512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"Intel® Core™ i5-12450HX ( 2.4 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",Windows 11 Home SL,"60 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync",,,,11.633%,https://lh3.googleusercontent.com/5JUDQweseDyNaAswp-9DUoprkuf-otENcJAJsj_i9d5mbBvWOWPhquDgoUHqaASNfeTRZftP1pY1Yj4JdW2uTvkcxPmqs3VU=w500-rw,Gaming,240504969,"GeForce RTX™ 2050 4GB GDDR6 Intel® UHD Graphics 710 ( 1575MHz , 65W",Laptop gaming Lenovo LOQ 15IAX9 - 83GS001SVN (i5-12450HX/RAM 12GB/GeForce RTX 2050/512GB SSD/ Windows 11),Dolby Audio,18.990.000₫,Vỏ nhựa,2.4 kg,LOQ
2 x 8GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),,19.990.000₫,,,12 tháng,"Bàn phím Chiclet với phím Copilot , không phím số , không đèn",Intel® AI Boost NPU,Bạc,,FHD webcam,,Swift Lite 14 SFL14-51M-56HS,không đèn,Cáp + Sạc,ACER,314.4 x 221.9 x 17.5/17.5 mm,"1 x USB Type C / DisplayPort
3 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ Ultra 5-125H ( 1.3 GHz - 4.3 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI",Windows 11 Home SL,"3 cell 58 Wh , Pin liền","14"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , không cảm ứng , 300 nits , 45% NTSC , Acer ComfyView",,,,7.004%,https://lh3.googleusercontent.com/XYISynRsDZRXHmRVIfbxGEIuMOG3l7EhUId6qdfvoUoKzVdQTUujOi-WZxYYItWyHv5lCCKDc4IHM0sgujTpu3Ax3skFwVrc=w500-rw,Văn phòng,240903731,Onboard Intel® Arc™ Graphics,Laptop ACER Swift Lite 14 AI SFL14-51M-56HS (Ultra 5-125U/RAM 16GB/Onboard/512GB SSD/ Windows 11),,18.590.000₫,Vỏ nhôm,1.3 kg,Swift Lite
8GB (4GB + 4GB Onboard) DDR4 2666MHz ( 1 Khe cắm / Hỗ trợ tối đa 20GB ),NX.K5BSV.001,19.990.000₫,Vân tay,,12 tháng,"Bàn phím thường , LED",,Xám,,HD webcam,,Aspire 5 A514-55-5954 (NX.K5BSV.001),,,ACER,32.81 x 22.12 x 1.79 cm,"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",Windows 11 Home,"3 cell 50 Wh , Pin liền","14"" ( 1920 x 1080 ) Full HD IPS",,,,32.516%,https://lh3.googleusercontent.com/FKyF9B1M8gMxnO95DaYUJ2h2kbRyVlIJykzAxXXtTcaOu9ogfh1p3HilXDeUBM6JzcARRTVbJ5291Dfaxyx6Gj6qyya47CI=w500-rw,,220802884,Onboard Intel® Iris® Xe Graphics,Laptop ACER Aspire 5 A514-55-5954 (i5-1235U/RAM 8GB/Onboard/512GB SSD/ Windows 11),Acer Purified Voice,13.490.000₫,Vỏ kim loại,1.4 kg,Aspire 5
16GB Onboard LPDDR5 4800MHz ( 1 Khe cắm / Không nâng cấp được ),NX.KPZSV.003,24.590.000₫,Vân tay,,12 tháng,"Bàn phím thường , không phím số , LED",,Gold,,QHD webcam,,Swift Go SFG14-71-513F (NX.KPZSV.003),không đèn,,ACER,312.9 x 217.9 x 14.9 mm,"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-13500H ( 2.6 GHz - 4.7 GHz / 18MB / 12 nhân, 16 luồng ),",Windows 11 Home,"65 Wh , Pin liền","14"" ( 2880 x 1800 ) WQXGA+ 16:10 , OLED , 400 nits , 100% DCI-P3",,,,26.84%,https://lh3.googleusercontent.com/oUQ4v64dwHtd-zKltxKQoirLBQI2L_P2gHDwuAwHv4ErBcs_l6e7I8vZAxgAA86KKolD_oBw5VBlOmJd0_Bz7yP4a4LT_K2Q=w500-rw,Văn phòng,231002795,Onboard Intel® Iris® Xe Graphics,Laptop Acer Swift Go SFG14-71-513F (NX.KPZSV.003) (i5-13500H) (Vàng),,17.990.000₫,Vỏ nhôm,1.2 kg,Swift Go
2 x 8GB DDR5 4800MHz,8C5N3PA,31.690.000₫,,,12 tháng,"Bàn phím thường , có phím số , không đèn",,Đen,,FHD webcam,,Victus 16-r0128TX - 8C5N3PA,không đèn,,HP,36.9 x 25.94 x 2.39 cm,"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-13450HX ( 2.4 GHz - 4.6GHz / 20MB / 10 nhân, 16 luồng ), Non-EVO",Windows 11 Home SL,"4 cell 70 Wh , Pin liền","16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",,,,17.987%,https://lh3.googleusercontent.com/KGqk74SUV07UBXjqf1H4laM6J4ctSkBLoPMiHu3FYPxs3g2Ucxka8P749TozQ9VwVzrkJ5k5voPWWSus3u-O7a3uasLOzx00=w500-rw,Gaming,240603142,GeForce RTX™ 4050 6GB GDDR6 Intel® UHD Graphics 710,Laptop gaming HP Victus 16-r0128TX - 8C5N3PA (i5-13450HX/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),HP Audio Boost,25.990.000₫,,2.3 kg,VICTUS
2 x 8GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),N4I5211W1,24.490.000₫,,,12 tháng,"Bàn phím thường , không phím số , LED",,Xanh,,FHD webcam,,Inspiron 5440 G14 - N4I5211W1,,,Dell,314 x 226.15 x 18.90 cm,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ 5 120U ( 1.4 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",Windows 11 Home SL + Office Home & Student 2021,"4 cell 54 Wh , Pin liền","14"" ( 1920 x 1200 ) WUXGA IPS , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa , ComfyView",,,,6.125%,https://lh3.googleusercontent.com/K4T4tF8P_QVIrG2nUX3diNPd_eVX5D4J4ktAGLpsnnChJD1wyaQsddU9pqGHUfqnxyl2EUOoukaTVhP2pVueltlEPt5T7lrhsA=w500-rw,Văn phòng,240404257,Onboard Intel® Iris® Xe Graphics,Laptop Dell Inspiron 5440 G14 - N4I5211W1 (Core 5-120U) (Xanh),Dolby Atmos,22.990.000₫,,1.6 kg,Inspiron
16GB (8GB + 8GB Onboard) DDR4 3200MHz ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),90NB10P2-M007W0,23.990.000₫,Vân tay,,24 tháng,"Bàn phím thường , có phím số , không đèn",,Bạc,,HD webcam,,Vivobook A1505VA-L1201W,không đèn,,ASUS,35.68 x 22.76 x 1.99cm,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i9-13900H ( 2.6 GHz - 5.4GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",Windows 11 Home,"3 cell 50 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , 600 nits , 100% DCI-P3",,,Bảo hành Pin 12 tháng,8.337%,https://lh3.googleusercontent.com/ip2uOp1h2aEmu2Q6GsLABd3_Ul_dPR-seWecL-p3rA8hZ0yNTlGzDf9dlgbe89-EzYheq2BYiSNwwP1DJjVjT6bUSouGMlEm=w500-rw,Văn phòng,230302706,Onboard Intel® Iris® Xe Graphics,Laptop ASUS Vivobook 15 OLED A1505VA-L1201W (i9-13900H/RAM 16GB/512GB SSD/ Windows 11),SonicMaster,21.990.000₫,,1.7 kg,VivoBook
1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),1419VN,17.990.000₫,,,24 tháng,"Có phím Copilot , không phím số , LED",,Xám,,HD webcam,,Thin 15 B12UCX-1419VN,,Adapter,MSI,359 x 254 x 21.7 mm,"1 x USB Type C / DisplayPort
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","512GB SSD M.2 NVMe ( 1 x 2.5"" SATA /( 1 x M.2 NVMe )","Intel® Core™ i5-12450H ( 2.0 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",Windows 11 Home,"3 cell 52 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng",,,,13.897%,https://lh3.googleusercontent.com/_Ikc-9_gjqBuylee1RA3R2TgmocWGBll0wkXqC9Eg_NPjoC79eJY80mp9h3HsEpU3B3rnFX5RwAUdOS4-vlpSYqXi425ly0DzQ=w500-rw,Gaming,240403801,"GeForce RTX™ 2050 4GB GDDR6 Intel® UHD Graphics ( 1170MHz , 45W",Laptop MSI Thin 15 B12UCX-1419VN (i5-12450H) (Xám),Hi-Res Audio,15.490.000₫,,1.8 kg,Thin 15
1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),873B2PA,23.590.000₫,Vân tay,,12 tháng,"Bàn phím thường , không phím số , LED",,Bạc,,FHD webcam,,ProBook 440 G10 - 873B2PA,,"Adapter, dây nguồn,…",HP,32.19 x 21.39 x 1.99 cm,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i5-1340P ( 1.9 GHz - 4.6 GHz / 12MB / 12 nhân, 16 luồng ), Non-EVO",Windows 11 Home,"3 cell 51 Wh , Pin liền","14"" ( 1920 x 1080 ) Full HD IPS , cảm ứng",,,,12.293%,https://lh3.googleusercontent.com/3frj5EOkXWwhsOG5qjuHzBPXJK5XzFtvR1ezyynQY4IrjxKmSTH-_bbPdiW8UOBaSXCR0-8EXv2Sb0gfjCC3UwXgIXtqm5Q5=w500-rw,Văn phòng,240602782,Onboard Intel® Iris® Xe Graphics,Laptop HP ProBook 440 G10 - 873B2PA (i5-1340P/ RAM 16GB/ Onboard/ 512GB SSD/ Windows 11),,20.690.000₫,,1.4 kg,ProBook
2 x 8GB DDR4 3200MHz ( 2 Khe cắm,9Z2X1PA,19.990.000₫,,,12 tháng,"Bàn phím thường , có phím số , không đèn",,Bạc,,HD webcam,,15-fd1045TU - 9Z2X1PA,không đèn,"Adapter, dây nguồn,…",HP,35.98 x 23.6 x 1.86 cm,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ 5 120U ( 1.4 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",Windows 11 Home,"3 cell 41 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD IPS , không cảm ứng , 250 nits , 45% NTSC",,,,12.506%,https://lh3.googleusercontent.com/hOkPS7MBKKbATT1p2uomYTd3MBH3YTk4iiSh0s_s5wMPXOpZuc3UqL9Y03pUKEvytXJdru_M4CM3g-hFEBxSrUswSVDvihwX=w500-rw,Văn phòng,240704436,Onboard Intel® Iris® Xe Graphics,Laptop AI HP 15-fd1045TU - 9Z2X1PA (Core 5 120U/RAM 16GB/Onboard/512GB SSD/Windows 11),,17.490.000₫,,1.7 kg,14/15 Series
2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),90NB10A2-M008J0,25.990.000₫,Vân tay,,24 tháng,"Bàn phím thường , có phím số , LED",,Bạc,,HD webcam,,Vivobook 15X OLED S3504VA-L1227WS,không đèn,"Adapter, dây nguồn,…",ASUS,35.97 x 23.25 x 1.79 cm,"1 x USB Type C/ Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"Intel® Core™ i7-1360P ( 2.2 GHz - 5.0 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",Windows 11 Home + Office Home & Student,"3 cell 50 Wh , Pin liền","15.6"" ( 1920 x 1080 ) Full HD 16:9 , OLED , không cảm ứng , 550 nits , 100% DCI-P3",,,Bảo hành Pin 12 tháng,12.697%,https://lh3.googleusercontent.com/P8yJYp6AUvzRr_DKf2tmOg2vG2iY0lrUxmVNRIXul58jKrinn4oNChw_SKCCJFBrAa6uTeXYvZ1lFuhp9xeR2t7JH4-e4el5Zw=w500-rw,Văn phòng,231200911,Onboard Intel® Iris® Xe Graphics,Laptop ASUS Vivobook 15X OLED S3504VA-L1227WS (i7-1360P/ RAM 16GB/ Onboard/ 512GB SSD/ Windows 11 + Office),SonicMaster,22.690.000₫,,1.7 kg,VivoBook
