id,source,name,brand,img-src,latest-price,retail-price,sale,available
No.00909189,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15ahp9-r7-8845hs,"Laptop Lenovo Gaming LOQ 15AHP9 R7 8845HS/AI/16GB/512GB/15.6""FHD/RTX4060 8GB/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_6_25_638549200759941349_lenovo-loq-15ahp9-83dx0085vn.png,31.990.000,34.490.000,7,True
No.00908399,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-15-x1504za-nj517w-i5-1235u,"Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6"" FHD/Win11",Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_13_638512084168393633_X1504ZA-NJ517W.jpg,13.990.000,16.490.000,15,True
No.00907728,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx,"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/RTX2050 4GB/Win11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_4_24_638495702921048085_LOQ%2015IAX9.jpg,19.490.000,22.990.000,15,True
No.00907335,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-2023-m3-8-cpu-10-gpu-16gb-512gb,MacBook Pro 14 2023 M3 8 CPU/10 GPU/16GB/512GB,Macbook,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_3_20_638465447957955839_macbook-pro-14-2023-m3-8-cpu-10-gpu-xam%20(1).jpg,42.990.000,44.990.000,4,True
No.00907390,https://fptshop.com.vn/may-tinh-xach-tay/hp-14-ep0112tu-i5-1335u,Laptop HP 14-ep0112TU i5 1335U/16GB/512GB/14'FHD/Win11,Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_4_5_638479322106453155_hp-14-ep0112TU-i5-1335u-1.jpg,0,0,0,False
No.00907931,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15irx9-i7-13650hx-16gb,"Laptop Lenovo Gaming LOQ - 15IRX9 i7-13650HX/AI/16GB/512GB/15.6""FHD/RTX4050 6GB/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_13_638512078570489297_83DV00D5VN.jpg,29.690.000,32.990.000,10,True
No.00908799,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-5-16irx9-i7-14650hx-32gb,"Laptop Lenovo Gaming Legion 5 16IRX9 i7 14650HX/AI/32GB/1TB/16""WQXGA/RTX4060 8GB/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_6_6_638532938050744274_83dg0050vn.jpg,43.990.000,46.990.000,6,True
No.00907132,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-m3-15-2024-8cpu-10gpu-8gb-512gb,Macbook Air M3 15 2024 8CPU 10GPU/8GB/512GB,Macbook,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_3_18_638463800900006210_macbook-air-m3-15-2024-xam-1.jpg,34.990.000,37.990.000,8,True
No.00906608,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-a15-fa506nc-hn011w-r5-7535hs,"Laptop Asus TUF Gaming A15 FA506NC-HN011W R5 7535HS/8GB/ 512GB/15.6"" FHD/Nvidia RTX3050 4GB/Win11",Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_16_638436898802594053_asus-tuf-gaming-a15-fa506nc-1.jpg,0,0,0,False
No.00906600,https://fptshop.com.vn/may-tinh-xach-tay/asus-rog-flow-x16-gaming-gv601vv-nl016w-i9-13900h,Laptop Asus ROG Flow X16 Gaming GV601VV-NL016W i9 13900H/AI/16GB/1TB/16' 240Hz/Nvidia RTX 4060 8GB/Win11,Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_16_638436883816818471_asus-rog-flow-x16-gaming-gv601vv-nl016w-i9-13900h-3.jpg,0,0,0,False
